Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]
Sample 207	ERS13532118	SAMEA111438696	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 207	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_N2_S207_L002	group 121	sequencing assay	ERX9850253	20180217_Lane2_Skin_N2_S207_L002_R1_001.fastq.gz	20180217_Lane2_Skin_N2_S207_L002_R1_001.fastq.gz	ERR10315869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/069/ERR10315869/ERR10315869.fastq.gz	207
Sample 208	ERS13532119	SAMEA111438697	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 208	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_P2_S208_L001	group 122	sequencing assay	ERX9850254	20180217_Lane1_Skin_P2_S208_L001_R1_001.fastq.gz	20180217_Lane1_Skin_P2_S208_L001_R1_001.fastq.gz	ERR10315870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/070/ERR10315870/ERR10315870.fastq.gz	208
Sample 208	ERS13532119	SAMEA111438697	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 208	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_P2_S208_L003	group 122	sequencing assay	ERX9850254	20180217_Lane3_Skin_P2_S208_L003_R1_001.fastq.gz	20180217_Lane3_Skin_P2_S208_L003_R1_001.fastq.gz	ERR10315871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/071/ERR10315871/ERR10315871.fastq.gz	208
Sample 208	ERS13532119	SAMEA111438697	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 208	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_P2_S208_L002	group 122	sequencing assay	ERX9850254	20180217_Lane2_Skin_P2_S208_L002_R1_001.fastq.gz	20180217_Lane2_Skin_P2_S208_L002_R1_001.fastq.gz	ERR10315872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/072/ERR10315872/ERR10315872.fastq.gz	208
Sample 208	ERS13532119	SAMEA111438697	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 208	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1208_S208_L001	group 122	sequencing assay	ERX9850254	P8467_1208_S208_L001_R1_001.fastq.gz	P8467_1208_S208_L001_R1_001.fastq.gz	ERR10315873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/073/ERR10315873/ERR10315873.fastq.gz	208
Sample 208	ERS13532119	SAMEA111438697	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 208	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1208_S208_L002	group 122	sequencing assay	ERX9850254	P8467_1208_S208_L002_R1_001.fastq.gz	P8467_1208_S208_L002_R1_001.fastq.gz	ERR10315874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/074/ERR10315874/ERR10315874.fastq.gz	208
Sample 209	ERS13532120	SAMEA111438698	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 209	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1209_S209_L001	group 123	sequencing assay	ERX9850255	P8467_1209_S209_L001_R1_001.fastq.gz	P8467_1209_S209_L001_R1_001.fastq.gz	ERR10315875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/075/ERR10315875/ERR10315875.fastq.gz	209
Sample 209	ERS13532120	SAMEA111438698	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 209	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1209_S209_L002	group 123	sequencing assay	ERX9850255	P8467_1209_S209_L002_R1_001.fastq.gz	P8467_1209_S209_L002_R1_001.fastq.gz	ERR10315876	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/076/ERR10315876/ERR10315876.fastq.gz	209
Sample 209	ERS13532120	SAMEA111438698	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 209	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_B3_S209_L002	group 123	sequencing assay	ERX9850255	20180217_Lane2_Skin_B3_S209_L002_R1_001.fastq.gz	20180217_Lane2_Skin_B3_S209_L002_R1_001.fastq.gz	ERR10315877	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/077/ERR10315877/ERR10315877.fastq.gz	209
Sample 209	ERS13532120	SAMEA111438698	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 209	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_B3_S209_L001	group 123	sequencing assay	ERX9850255	20180217_Lane1_Skin_B3_S209_L001_R1_001.fastq.gz	20180217_Lane1_Skin_B3_S209_L001_R1_001.fastq.gz	ERR10315878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/078/ERR10315878/ERR10315878.fastq.gz	209
Sample 209	ERS13532120	SAMEA111438698	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 209	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_B3_S209_L003	group 123	sequencing assay	ERX9850255	20180217_Lane3_Skin_B3_S209_L003_R1_001.fastq.gz	20180217_Lane3_Skin_B3_S209_L003_R1_001.fastq.gz	ERR10315879	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/079/ERR10315879/ERR10315879.fastq.gz	209
Sample 21	ERS13532121	SAMEA111438699	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_I3_S21_L002	group 124	sequencing assay	ERX9850256	20180217_Lane2_Skin_I3_S21_L002_R1_001.fastq.gz	20180217_Lane2_Skin_I3_S21_L002_R1_001.fastq.gz	ERR10315880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/080/ERR10315880/ERR10315880.fastq.gz	21
Sample 21	ERS13532121	SAMEA111438699	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1021_S21_L002	group 124	sequencing assay	ERX9850256	P8467_1021_S21_L002_R1_001.fastq.gz	P8467_1021_S21_L002_R1_001.fastq.gz	ERR10315881	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/081/ERR10315881/ERR10315881.fastq.gz	21
Sample 21	ERS13532121	SAMEA111438699	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_I3_S21_L001	group 124	sequencing assay	ERX9850256	20180217_Lane1_Skin_I3_S21_L001_R1_001.fastq.gz	20180217_Lane1_Skin_I3_S21_L001_R1_001.fastq.gz	ERR10315882	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/082/ERR10315882/ERR10315882.fastq.gz	21
Sample 21	ERS13532121	SAMEA111438699	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1021_S21_L001	group 124	sequencing assay	ERX9850256	P8467_1021_S21_L001_R1_001.fastq.gz	P8467_1021_S21_L001_R1_001.fastq.gz	ERR10315883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/083/ERR10315883/ERR10315883.fastq.gz	21
Sample 21	ERS13532121	SAMEA111438699	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 21	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_I3_S21_L003	group 124	sequencing assay	ERX9850256	20180217_Lane3_Skin_I3_S21_L003_R1_001.fastq.gz	20180217_Lane3_Skin_I3_S21_L003_R1_001.fastq.gz	ERR10315884	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/084/ERR10315884/ERR10315884.fastq.gz	21
Sample 210	ERS13532122	SAMEA111438700	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 210	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1210_S210_L002	group 125	sequencing assay	ERX9850257	P8467_1210_S210_L002_R1_001.fastq.gz	P8467_1210_S210_L002_R1_001.fastq.gz	ERR10315885	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/085/ERR10315885/ERR10315885.fastq.gz	210
Sample 210	ERS13532122	SAMEA111438700	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 210	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_D3_S210_L003	group 125	sequencing assay	ERX9850257	20180217_Lane3_Skin_D3_S210_L003_R1_001.fastq.gz	20180217_Lane3_Skin_D3_S210_L003_R1_001.fastq.gz	ERR10315886	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/086/ERR10315886/ERR10315886.fastq.gz	210
Sample 210	ERS13532122	SAMEA111438700	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 210	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_D3_S210_L001	group 125	sequencing assay	ERX9850257	20180217_Lane1_Skin_D3_S210_L001_R1_001.fastq.gz	20180217_Lane1_Skin_D3_S210_L001_R1_001.fastq.gz	ERR10315887	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/087/ERR10315887/ERR10315887.fastq.gz	210
Sample 210	ERS13532122	SAMEA111438700	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 210	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1210_S210_L001	group 125	sequencing assay	ERX9850257	P8467_1210_S210_L001_R1_001.fastq.gz	P8467_1210_S210_L001_R1_001.fastq.gz	ERR10315888	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/088/ERR10315888/ERR10315888.fastq.gz	210
Sample 210	ERS13532122	SAMEA111438700	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 210	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_D3_S210_L002	group 125	sequencing assay	ERX9850257	20180217_Lane2_Skin_D3_S210_L002_R1_001.fastq.gz	20180217_Lane2_Skin_D3_S210_L002_R1_001.fastq.gz	ERR10315889	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/089/ERR10315889/ERR10315889.fastq.gz	210
Sample 211	ERS13532123	SAMEA111438701	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 211	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1211_S211_L001	group 126	sequencing assay	ERX9850258	P8467_1211_S211_L001_R1_001.fastq.gz	P8467_1211_S211_L001_R1_001.fastq.gz	ERR10315890	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/090/ERR10315890/ERR10315890.fastq.gz	211
Sample 211	ERS13532123	SAMEA111438701	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 211	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_F3_S211_L001	group 126	sequencing assay	ERX9850258	20180217_Lane1_Skin_F3_S211_L001_R1_001.fastq.gz	20180217_Lane1_Skin_F3_S211_L001_R1_001.fastq.gz	ERR10315891	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/091/ERR10315891/ERR10315891.fastq.gz	211
Sample 211	ERS13532123	SAMEA111438701	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 211	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_F3_S211_L002	group 126	sequencing assay	ERX9850258	20180217_Lane2_Skin_F3_S211_L002_R1_001.fastq.gz	20180217_Lane2_Skin_F3_S211_L002_R1_001.fastq.gz	ERR10315892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/092/ERR10315892/ERR10315892.fastq.gz	211
Sample 211	ERS13532123	SAMEA111438701	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 211	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_F3_S211_L003	group 126	sequencing assay	ERX9850258	20180217_Lane3_Skin_F3_S211_L003_R1_001.fastq.gz	20180217_Lane3_Skin_F3_S211_L003_R1_001.fastq.gz	ERR10315893	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/093/ERR10315893/ERR10315893.fastq.gz	211
Sample 211	ERS13532123	SAMEA111438701	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 211	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1211_S211_L002	group 126	sequencing assay	ERX9850258	P8467_1211_S211_L002_R1_001.fastq.gz	P8467_1211_S211_L002_R1_001.fastq.gz	ERR10315894	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/094/ERR10315894/ERR10315894.fastq.gz	211
Sample 212	ERS13532124	SAMEA111438702	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 212	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1212_S212_L002	group 127	sequencing assay	ERX9850259	P8467_1212_S212_L002_R1_001.fastq.gz	P8467_1212_S212_L002_R1_001.fastq.gz	ERR10315895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/095/ERR10315895/ERR10315895.fastq.gz	212
Sample 212	ERS13532124	SAMEA111438702	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 212	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_H3_S212_L001	group 127	sequencing assay	ERX9850259	20180217_Lane1_Skin_H3_S212_L001_R1_001.fastq.gz	20180217_Lane1_Skin_H3_S212_L001_R1_001.fastq.gz	ERR10315896	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/096/ERR10315896/ERR10315896.fastq.gz	212
Sample 212	ERS13532124	SAMEA111438702	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 212	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_H3_S212_L002	group 127	sequencing assay	ERX9850259	20180217_Lane2_Skin_H3_S212_L002_R1_001.fastq.gz	20180217_Lane2_Skin_H3_S212_L002_R1_001.fastq.gz	ERR10315897	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/097/ERR10315897/ERR10315897.fastq.gz	212
Sample 212	ERS13532124	SAMEA111438702	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 212	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_H3_S212_L003	group 127	sequencing assay	ERX9850259	20180217_Lane3_Skin_H3_S212_L003_R1_001.fastq.gz	20180217_Lane3_Skin_H3_S212_L003_R1_001.fastq.gz	ERR10315898	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/098/ERR10315898/ERR10315898.fastq.gz	212
Sample 212	ERS13532124	SAMEA111438702	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 212	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1212_S212_L001	group 127	sequencing assay	ERX9850259	P8467_1212_S212_L001_R1_001.fastq.gz	P8467_1212_S212_L001_R1_001.fastq.gz	ERR10315899	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/099/ERR10315899/ERR10315899.fastq.gz	212
Sample 213	ERS13532125	SAMEA111438703	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 213	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane3_Skin_J3_S213_L003	group 128	sequencing assay	ERX9850260	20180217_Lane3_Skin_J3_S213_L003_R1_001.fastq.gz	20180217_Lane3_Skin_J3_S213_L003_R1_001.fastq.gz	ERR10315900	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/000/ERR10315900/ERR10315900.fastq.gz	213
Sample 213	ERS13532125	SAMEA111438703	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 213	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane2_Skin_J3_S213_L002	group 128	sequencing assay	ERX9850260	20180217_Lane2_Skin_J3_S213_L002_R1_001.fastq.gz	20180217_Lane2_Skin_J3_S213_L002_R1_001.fastq.gz	ERR10315901	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/001/ERR10315901/ERR10315901.fastq.gz	213
Sample 213	ERS13532125	SAMEA111438703	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 213	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	20180217_Lane1_Skin_J3_S213_L001	group 128	sequencing assay	ERX9850260	20180217_Lane1_Skin_J3_S213_L001_R1_001.fastq.gz	20180217_Lane1_Skin_J3_S213_L001_R1_001.fastq.gz	ERR10315902	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/002/ERR10315902/ERR10315902.fastq.gz	213
Sample 213	ERS13532125	SAMEA111438703	Mus musculus	C57BL/6 x CAST/EiJ	1	9	week	EFO	UO_0000034	adult	female	wild type genotype	skin	dorsal skin	cell	P-MTAB-126593	P-MTAB-126594	P-MTAB-126595	Sample 213	SINGLE	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	none	polyA RNA	Smart-seq2	oligo-dT	FACS	none	P-MTAB-126596	ICMC	P8467_1213_S213_L001	group 128	sequencing assay	ERX9850260	P8467_1213_S213_L001_R1_001.fastq.gz	P8467_1213_S213_L001_R1_001.fastq.gz	ERR10315903	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/003/ERR10315903/ERR10315903.fastq.gz	213
